from;orgun ve Yaygin Egitim;Proje Danismanligi;Fon Saglama;Patentleme Hizmetleri;Girisimcilik Hizmetleri;Kuluckalik Hizmetleri;Ticarilestirme;sirketlesme Hizmetleri;Risk Sermayesi;Uluslararasilasma hizmetleri
Akdeniz universitesi;1;1;NA;1;1;NA;1;NA;NA;1
Antalya Bilim universitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Alaattin Keykubat universitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Akev universitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Hamdullah Emin Pasa universitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
ALKu Teknoloji Transfer Ofisi Uygulama ve Arastirma Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
Antalya Bilim universitesi Teknoloji Transfer Ofisi;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Bati Akdeniz Teknokenti Teknoloji Gelistirme Bolgesi;NA;1;NA;1;1;NA;1;1;NA;1
Antalya OSB Teknopark;NA;1;NA;NA;1;1;NA;NA;NA;NA
Antalya OSB ;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Antalya Serbest Bolge;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antalya Ticaret ve Sanayi Odasi;NA;1;NA;1;1;1;NA;NA;NA;NA
Manavgat Ticaret ve Sanayi Odasi;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Ticaret ve Sanayi Odasi;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Kumluca Ticaret ve Sanayi Odasi;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Bati Akdeniz Ihracatcilar Birligi;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
Antalya Teknokent Girisimcilik ve Kulucka Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
ASSIM Abdullah Sevimcok Sivil Toplum ve Inovasyon Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
BAKA;NA;1;1;NA;1;NA;NA;NA;NA;NA
KOSGEB Antalya Il Mudurulugu;NA;1;1;NA;1;NA;1;NA;NA;NA
Sanayi ve Teknoloji Bakanligi Antalya Il  Mudurlugu;NA;NA;1;NA;1;NA;NA;NA;NA;NA
TuBITAK;NA;NA;1;NA;1;NA;NA;NA;NA;NA
Tarim ve Orman Bakanligi Antalya Il  Mudurlugu;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
Ticaret Bakanligi Antalya Il Mudurulugu;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
ANSIAD;NA;1;1;NA;1;NA;NA;NA;NA;NA
ANTGIAD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TuMSIAD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ahsap Teknolojileri Uygulama ve Arastirma Merkezi (ATAUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antalya Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ataturk Ilkeleri ve Inkilap Tarihi Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Avrupa Akdeniz Genclik Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bilgisayar Bilimleri Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Biyolojik cesitlilik Arastirma Gelistirme ve Uygulama Merkezi (AK- BIYOM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
cevre Sorunlari Arastirma ve Uygulama Merkezi (AKcAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egitim Teknolojileri Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egitim ve ogretimde Mukemmellik Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Endustriyel ve Medikal Uygulamalar Mikrodalga Uygulama ve Arastirma Merkezi (EMUMUAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gen ve Hucre Tedavisi Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gida Guvenligi ve Tarimsal Arastirmalar Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Havacilik Uygulama ve Arastirma Merkezi (AKHUMER);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Integratif Tip Yontemleri Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Istatistik Danismanlik Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nukleer Bilimler Uygulama Ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Organ Nakli Egitim, Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
olcme ve Degerlendirme Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Proje Gelistirme, Uygulama ve Arastirma Merkezi (APGEM);NA;1;NA;NA;1;NA;NA;NA;NA;NA
Saglik Bilimleri Arastirma ve Uygulama Merkezi (SBAUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saglik Turizmi ve Talassoterapi Egitim, Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saglik, Arastirma ve Uygulama Merkezi(universite Hastanesi);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sera Teknolojileri Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Stratejik Arastirmalar Merkezi (AKSAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Teknoloji Transferi Uygulama ve Arastirma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Temiz Enerji Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tohumculuk ve Tarimsal Biyoteknoloji Arastirma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turizm Arastirma, Gelistirme ve Uygulama Merkezi (TAGUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Algilama Arastirma ve Uygulama Merkezi (AKUZAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Egitim Uygulama ve Arastirma Merkezi (AKUZEM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
